PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
4.260000,4.280000,0.030000,0.130000,0.120000,106.629997,1.530000,-0.900000,264.140015,49.869999,52436.769531,35.78,85.72,6.085715,PM2.5,22042
4.070000,4.080000,0.030000,0.130000,0.120000,107.169998,1.480000,-1.000000,266.320007,41.119999,53989.210938,35.8,85.88,5.814286,PM2.5,22043
3.570000,3.580000,0.030000,0.100000,0.120000,96.750000,0.780000,-2.460000,267.899994,22.500000,56348.390625,36.27,89.36,5.100000,PM2.5,22064
3.660000,3.670000,0.030000,0.100000,0.120000,94.860001,-0.030000,-2.250000,268.100006,17.750000,56972.691406,36.29,89.53,5.228571,PM2.5,22065
3.620000,3.630000,0.030000,0.100000,0.120000,93.599998,-0.180000,-2.420000,266.720001,19.200001,55792.949219,36.31,89.7,5.171428,PM2.5,22066
3.830000,3.840000,0.040000,0.110000,0.120000,94.779999,-0.760000,-2.140000,265.549988,21.450001,55064.359375,36.33,89.86,5.471428,PM2.5,22067
3.790000,3.810000,0.030000,0.110000,0.120000,97.389999,-0.500000,-1.060000,265.750000,23.129999,55534.511719,36.35,90.03,5.414286,PM2.5,22068
3.950000,3.970000,0.040000,0.120000,0.120000,98.849998,-0.170000,-0.270000,265.089996,27.059999,55429.378906,36.37,90.2,5.642857,PM2.5,22069
4.120000,4.130000,0.040000,0.130000,0.120000,97.849998,0.700000,0.550000,264.679993,30.080000,55720.140625,36.38,90.36,5.885714,PM2.5,22070
4.200000,4.220000,0.040000,0.130000,0.120000,94.790001,1.160000,2.150000,264.019989,34.090000,56377.789062,36.4,90.53,6.000000,PM2.5,22071
4.340000,4.360000,0.040000,0.140000,0.120000,93.320000,0.790000,2.540000,262.790009,35.459999,56248.699219,36.42,90.7,6.200000,PM2.5,22072
4.610000,4.630000,0.040000,0.140000,0.120000,95.080002,0.830000,1.730000,262.019989,35.639999,55856.820312,36.44,90.87,6.585714,PM2.5,22073
2.200000,2.280000,0.260000,1.950000,0.120000,88.879997,6.510000,2.730000,260.320007,80.750000,52602.710938,34.64,78.53,3.142857,PM2.5,22250
2.080000,2.160000,0.240000,1.750000,0.120000,89.650002,7.140000,0.710000,260.410004,79.180000,52523.398438,34.67,78.69,3.000000,CO,22251
1.970000,2.040000,0.220000,1.510000,0.120000,90.620003,7.240000,0.130000,259.660004,80.940002,51717.808594,34.7,78.85,3.000000,CO,22252
1.760000,1.830000,0.210000,1.170000,0.120000,91.360001,7.880000,-0.510000,261.010010,69.459999,52280.570312,34.73,79.01,3.000000,CO,22253
1.600000,1.670000,0.200000,0.980000,0.130000,92.330002,7.520000,-1.200000,262.869995,59.250000,53418.011719,34.77,79.17,3.250000,CO,22254
1.530000,1.600000,0.190000,0.880000,0.130000,92.419998,6.780000,-1.400000,263.380005,56.990002,53806.589844,34.8,79.33,3.250000,CO,22255
