PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
93.650002,126.160004,12.650000,29.590000,2.280000,25.000000,-5.600000,-5.310000,278.279999,87.099998,100035.906250,29.51,114.15,123.312500,PM2.5,8759
95.980003,126.750000,11.410000,29.790001,2.210000,24.370001,-5.630000,-4.900000,277.640015,92.129997,99196.382812,29.5,114.3,126.225006,PM2.5,8760
93.309998,124.410004,10.870000,30.740000,2.130000,24.469999,-4.640000,-3.860000,277.799988,92.480003,99399.906250,29.48,114.46,122.887497,PM2.5,8761
94.029999,122.680000,10.710000,32.189999,2.080000,24.080000,-4.110000,-3.560000,277.899994,91.230003,99386.296875,29.47,114.61,123.787498,PM2.5,8762
97.029999,125.290001,10.380000,33.209999,2.080000,22.100000,-4.350000,-4.120000,277.579987,92.879997,98887.226562,29.46,114.77,127.537498,PM2.5,8763
93.129997,118.220001,10.890000,33.970001,1.970000,21.020000,-3.990000,-4.230000,277.429993,93.389999,98650.140625,29.45,114.92,122.662498,PM2.5,8764
101.029999,115.529999,28.770000,19.620001,1.300000,27.120001,-2.610000,2.990000,274.649994,100.000000,88503.171875,29.94,108.53,132.537506,PM2.5,8958
104.489998,116.629997,24.590000,19.490000,1.380000,28.570000,-2.030000,1.670000,275.809998,99.440002,90555.750000,29.93,108.69,136.862503,PM2.5,8959
100.489998,110.760002,21.510000,18.280001,1.410000,34.209999,-2.430000,0.310000,275.299988,99.730003,89968.710938,29.93,108.84,131.862503,PM2.5,8960
95.870003,104.309998,18.580000,18.170000,1.470000,38.529999,-1.750000,-0.560000,275.390015,99.769997,90521.570312,29.92,109.0,126.087502,PM2.5,8961
89.449997,96.639999,15.800000,19.400000,1.520000,41.959999,-0.540000,-0.950000,275.920013,98.790001,91567.453125,29.92,109.16,118.062500,PM2.5,8962
84.910004,92.029999,13.560000,21.110001,1.580000,41.970001,0.280000,0.570000,275.640015,98.870003,90800.343750,29.91,109.31,112.387505,PM2.5,8963
73.550003,82.580002,12.460000,18.350000,1.560000,47.619999,0.030000,1.660000,276.140015,96.580002,91121.773438,29.91,109.47,98.187500,PM2.5,8964
64.550003,75.690002,12.720000,16.250000,1.540000,52.410000,-3.440000,0.800000,276.049988,92.370003,89495.843750,29.9,109.63,86.937500,PM2.5,8965
66.209999,78.540001,13.340000,16.180000,1.600000,51.910000,-5.480000,-0.080000,273.970001,97.760002,86893.156250,29.89,109.78,89.012497,PM2.5,8966
62.689999,77.589996,13.660000,18.620001,1.760000,48.900002,-2.700000,-0.320000,274.029999,97.580002,88368.953125,29.89,109.94,84.612495,PM2.5,8967
53.810001,72.610001,15.100000,20.940001,1.910000,50.110001,-1.680000,0.290000,275.549988,86.550003,90986.007812,29.88,110.1,73.512505,PM2.5,8968
53.570000,72.410004,16.200001,21.160000,1.940000,50.380001,-5.600000,-3.340000,275.209991,80.360001,90550.242188,29.87,110.25,73.212502,PM2.5,8969
55.660000,74.550003,16.320000,22.459999,2.000000,48.279999,-7.660000,-5.730000,272.329987,93.070000,88512.023438,29.87,110.41,75.824997,PM2.5,8970
104.410004,145.240005,18.420000,29.320000,2.100000,25.790001,-1.750000,-9.710000,276.399994,87.150002,102540.726562,29.78,112.13,136.762512,PM2.5,8981
99.930000,149.520004,18.959999,27.980000,2.220000,28.330000,-2.650000,-9.410000,276.679993,86.449997,102499.328125,29.77,112.29,131.162506,PM2.5,8982
94.959999,152.610001,20.000000,27.070000,2.340000,30.860001,-3.080000,-9.840000,276.500000,84.680000,102529.679688,29.76,112.44,124.949997,PM2.5,8983
91.309998,155.500000,20.270000,26.320000,2.470000,31.290001,-2.660000,-9.720000,276.369995,84.949997,102443.390625,29.75,112.6,120.387497,PM2.5,8984
86.629997,154.320007,20.660000,25.400000,2.550000,31.620001,-2.620000,-9.070000,276.589996,85.389999,102361.796875,29.74,112.76,114.537498,PM2.5,8985
78.260002,140.679993,19.129999,23.879999,2.470000,32.889999,-2.940000,-9.860000,277.660004,83.589996,102565.023438,29.72,113.07,104.075005,PM2.5,8987
76.870003,133.169998,18.570000,24.070000,2.380000,33.220001,-4.190000,-10.170000,278.980011,84.010002,102548.476562,29.71,113.22,102.337502,PM2.5,8988
77.639999,119.900002,16.639999,26.889999,2.380000,26.240000,-4.090000,-8.760000,279.429993,83.800003,102601.031250,29.69,113.54,103.300003,PM2.5,8990
77.529999,111.260002,16.559999,28.870001,2.450000,19.230000,-3.610000,-6.890000,279.000000,83.099998,102296.796875,29.68,113.69,103.162498,PM2.5,8991
82.599998,112.739998,15.150000,29.940001,2.440000,18.600000,-3.480000,-5.870000,279.440002,85.250000,101700.593750,29.67,113.85,109.500000,PM2.5,8992
88.500000,120.510002,13.150000,29.900000,2.400000,20.950001,-3.800000,-5.480000,279.010010,85.820000,100925.078125,29.66,114.0,116.875000,PM2.5,8993
92.480003,127.029999,11.590000,29.760000,2.370000,21.559999,-3.890000,-5.070000,278.070007,87.639999,99845.906250,29.64,114.16,121.850006,PM2.5,8994
94.160004,131.509995,10.660000,29.650000,2.300000,23.190001,-4.160000,-4.320000,278.489990,86.540001,100174.656250,29.63,114.31,123.950005,PM2.5,8995
92.029999,128.300003,10.250000,30.299999,2.180000,24.450001,-4.860000,-3.330000,279.049988,84.820000,100901.570312,29.62,114.47,121.287498,PM2.5,8996
93.940002,126.099998,9.600000,31.420000,2.130000,23.620001,-5.470000,-3.840000,278.540009,87.699997,100404.671875,29.61,114.63,123.675003,PM2.5,8997
97.889999,128.330002,9.780000,32.759998,2.140000,23.139999,-5.090000,-4.150000,278.260010,88.879997,100288.242188,29.6,114.78,128.612503,PM2.5,8998
94.639999,122.730003,10.040000,33.549999,2.040000,21.629999,-4.250000,-4.550000,278.450012,88.160004,100586.726562,29.58,114.94,124.550003,PM2.5,8999
82.690002,100.110001,12.840000,34.430000,1.810000,22.559999,-4.190000,-3.780000,278.230011,87.000000,100036.078125,29.57,115.09,109.612503,PM2.5,9000
97.809998,110.800003,23.299999,18.010000,1.240000,29.450001,-4.350000,4.180000,273.600006,99.800003,85656.171875,30.07,108.54,128.512497,PM2.5,9193
97.449997,108.290001,18.549999,17.580000,1.280000,33.650002,-3.100000,1.830000,274.339996,99.849998,87891.023438,30.07,108.69,128.062500,PM2.5,9194
91.360001,100.639999,16.190001,17.180000,1.300000,38.689999,-3.410000,-0.650000,274.230011,99.750000,88656.796875,30.06,108.85,120.449997,PM2.5,9195
84.389999,92.970001,14.730000,17.980000,1.370000,42.400002,-2.730000,-2.100000,274.559998,99.830002,90119.273438,30.06,109.01,111.737503,PM2.5,9196
78.550003,86.129997,12.640000,19.590000,1.440000,45.209999,-1.500000,-2.750000,275.149994,99.290001,91433.203125,30.05,109.16,104.437500,PM2.5,9197
76.349998,82.139999,10.840000,21.580000,1.530000,46.110001,-0.030000,-2.350000,275.549988,98.389999,91833.953125,30.05,109.32,101.687500,PM2.5,9198
72.860001,79.070000,10.850000,20.780001,1.590000,46.630001,2.230000,-0.800000,276.420013,96.470001,92647.812500,30.04,109.48,97.324997,PM2.5,9199
66.580002,75.779999,11.510000,17.070000,1.540000,51.419998,-0.130000,1.070000,276.040009,94.839996,89316.703125,30.04,109.63,89.475006,PM2.5,9200
66.040001,77.769997,12.740000,17.270000,1.620000,52.029999,-4.500000,1.390000,273.459991,98.239998,84241.109375,30.03,109.79,88.800003,PM2.5,9201
61.759998,77.230003,13.370000,19.250000,1.740000,51.169998,-3.200000,0.270000,272.989990,98.720001,85755.343750,30.02,109.95,83.449997,PM2.5,9202
53.320000,71.800003,14.780000,20.070000,1.820000,50.060001,-3.910000,-1.030000,275.109985,83.300003,89103.523438,30.02,110.1,72.900002,PM2.5,9203
55.029999,74.190002,15.790000,20.700001,1.870000,49.270000,-7.340000,-4.420000,273.369995,84.209999,87397.148438,30.01,110.26,75.037498,PM2.5,9204
