PM2_5,PM10,SO2,NO2,CO,O3,Time
302.089996,401.040009,87.279999,65.720001,6.880000,5.720000,2013-01-01
223.720001,270.730011,65.419998,69.400002,6.370000,6.960000,2013-01-02
324.769989,347.390015,74.089996,51.639999,7.510000,10.810000,2013-01-03
266.410004,296.399994,61.180000,61.009998,7.510000,5.950000,2013-01-04
292.079987,292.040009,70.239998,61.500000,7.240000,5.210000,2013-01-05
212.289993,247.869995,58.930000,70.790001,6.710000,3.330000,2013-01-06
312.829987,337.089996,62.119999,42.459999,5.440000,3.100000,2013-01-07
576.000000,712.260010,392.649994,77.800003,10.460000,1.840000,2013-01-08
454.399994,711.229980,585.109985,152.410004,12.910000,0.380000,2013-01-09
266.649994,293.890015,125.080002,69.190002,8.940000,1.840000,2013-01-10
225.679993,189.649994,51.939999,33.029999,4.200000,2.790000,2013-01-11
280.970001,279.600006,72.250000,61.400002,5.270000,1.010000,2013-01-12
130.300003,99.989998,44.139999,59.740002,4.130000,4.970000,2013-01-13
211.050003,152.750000,48.689999,44.750000,4.600000,0.380000,2013-01-14
240.919998,189.270004,76.220001,54.250000,4.420000,0.000000,2013-01-15
209.149994,170.190002,35.099998,46.630001,4.550000,1.100000,2013-01-16
206.149994,198.240005,53.099998,48.130001,5.350000,1.520000,2013-01-17
224.809998,261.829987,54.720001,41.560001,5.490000,1.360000,2013-01-18
250.699997,302.290009,72.769997,51.970001,5.630000,2.670000,2013-01-19
296.760010,341.600006,130.729996,37.919998,6.020000,0.810000,2013-01-20
270.829987,311.589996,107.349998,68.419998,5.680000,0.000000,2013-01-21
286.299988,343.799988,106.500000,74.989998,5.800000,0.110000,2013-01-22
366.829987,474.980011,98.519997,71.470001,7.330000,1.270000,2013-01-23
467.250000,554.039978,107.050003,58.529999,7.980000,0.160000,2013-01-24
500.519989,586.570007,117.000000,48.220001,8.500000,0.990000,2013-01-25
445.200012,501.690002,97.110001,77.879997,8.620000,0.550000,2013-01-26
417.440002,453.269989,126.320000,93.110001,7.870000,0.010000,2013-01-27
395.760010,442.269989,109.910004,114.250000,7.670000,0.240000,2013-01-28
173.860001,217.429993,68.010002,47.209999,5.130000,11.960000,2013-01-29
135.570007,128.570007,43.970001,38.500000,4.260000,8.330000,2013-01-30
231.130005,254.789993,47.869999,44.389999,5.400000,6.080000,2013-01-31
196.470001,208.339996,58.810001,47.889999,5.230000,9.270000,2013-02-01
187.539993,178.490005,72.739998,28.770000,5.730000,10.470000,2013-02-02
252.369995,305.690002,78.470001,46.419998,6.930000,2.590000,2013-02-03
220.869995,249.619995,86.930000,54.099998,6.000000,5.110000,2013-02-04
314.869995,379.750000,57.709999,53.169998,6.420000,8.480000,2013-02-05
267.850006,283.390015,71.650002,60.139999,6.110000,4.660000,2013-02-06
159.490005,108.830002,43.189999,37.700001,4.950000,4.400000,2013-02-07
140.440002,113.239998,40.529999,21.040001,5.240000,13.260000,2013-02-08
103.790001,80.190002,30.129999,39.049999,4.450000,22.889999,2013-02-09
167.070007,176.850006,35.930000,46.840000,5.720000,14.440000,2013-02-10
186.300003,209.770004,27.860001,36.820000,5.480000,12.780000,2013-02-11
338.209991,396.910004,49.250000,41.240002,7.110000,6.950000,2013-02-12
252.710007,254.979996,65.260002,22.920000,6.370000,12.970000,2013-02-13
222.270004,228.710007,60.910000,28.969999,6.750000,13.790000,2013-02-14
265.700012,330.640015,75.480003,52.259998,7.060000,8.300000,2013-02-15
109.959999,110.529999,30.980000,45.900002,5.350000,35.570000,2013-02-16
176.809998,198.589996,40.290001,42.139999,6.350000,17.430000,2013-02-17
151.369995,186.080002,54.099998,55.400002,6.240000,14.070000,2013-02-18
280.720001,375.329987,58.799999,63.340000,7.200000,9.890000,2013-02-19
385.269989,504.299988,80.500000,61.529999,8.390000,7.830000,2013-02-20
620.979980,695.840027,183.610001,69.510002,12.620000,2.910000,2013-02-21
296.880005,351.760010,77.400002,45.619999,9.100000,8.640000,2013-02-22
158.350006,183.000000,48.840000,43.099998,7.390000,15.380000,2013-02-23
214.440002,250.089996,64.410004,47.349998,7.770000,19.610001,2013-02-24
279.089996,281.209991,58.439999,28.389999,8.960000,21.520000,2013-02-25
269.630005,264.829987,57.279999,38.619999,7.620000,8.470000,2013-02-26
150.190002,121.559998,32.529999,36.880001,6.160000,26.600000,2013-02-27
74.059998,55.799999,25.590000,37.630001,5.880000,32.070000,2013-02-28
162.660004,155.279999,48.130001,20.730000,8.640000,18.360001,2013-03-01
204.029999,181.639999,46.169998,48.709999,8.040000,15.110000,2013-03-02
185.039993,155.970001,32.830002,45.689999,7.910000,18.760000,2013-03-03
207.399994,285.290009,89.489998,67.669998,9.680000,10.360000,2013-03-04
152.279999,243.970001,46.799999,37.930000,9.210000,12.640000,2013-03-05
123.849998,163.470001,33.619999,33.060001,8.900000,6.240000,2013-03-06
126.849998,109.900002,48.470001,49.849998,8.980000,0.000000,2013-03-07
65.440002,137.449997,9.260000,29.260000,6.860000,25.950001,2013-03-08
31.190001,83.279999,18.790001,34.450001,6.220000,32.070000,2013-03-09
59.360001,136.360001,26.670000,29.620001,7.860000,17.379999,2013-03-10
95.790001,162.110001,39.110001,45.709999,7.990000,10.640000,2013-03-11
129.960007,201.449997,44.169998,48.099998,8.630000,12.060000,2013-03-12
132.490005,182.309998,32.910000,35.910000,8.640000,17.180000,2013-03-13
119.559998,189.679993,37.709999,30.459999,9.310000,7.560000,2013-03-14
93.029999,110.010002,23.900000,33.720001,7.800000,19.180000,2013-03-15
137.539993,171.479996,29.219999,34.070000,8.070000,12.760000,2013-03-16
96.250000,115.820000,22.680000,32.980000,6.850000,22.150000,2013-03-17
67.889999,101.519997,24.160000,43.939999,5.270000,21.600000,2013-03-18
74.449997,135.600006,22.830000,36.259998,4.470000,22.379999,2013-03-19
46.770000,121.639999,24.760000,37.799999,1.670000,25.430000,2013-03-20
74.379997,145.910004,18.690001,48.119999,2.100000,38.080002,2013-03-21
60.200001,115.949997,28.160000,53.330002,1.250000,24.430000,2013-03-22
