PM2_5,PM10,SO2,NO2,CO,O3,Time
172.029999,386.630005,81.489998,59.669998,1.920000,34.520000,2013-03-16
116.889999,222.970001,106.430000,50.419998,2.050000,31.129999,2013-03-17
36.799999,209.889999,96.580002,53.080002,2.070000,23.690001,2013-03-18
75.860001,283.019989,107.349998,58.430000,2.000000,25.389999,2013-03-19
90.550003,175.130005,83.669998,50.439999,1.630000,28.420000,2013-03-20
166.899994,347.679993,164.039993,77.470001,1.620000,23.270000,2013-03-21
92.370003,186.789993,75.010002,50.380001,1.400000,32.439999,2013-03-22
108.180000,271.260010,105.370003,48.680000,1.330000,37.430000,2013-03-23
37.930000,90.790001,62.240002,38.770000,0.970000,39.970001,2013-03-24
91.910004,174.610001,82.519997,54.959999,1.570000,28.209999,2013-03-25
106.629997,212.179993,135.869995,61.930000,1.760000,29.780001,2013-03-26
135.080002,271.220001,163.789993,64.419998,2.200000,31.580000,2013-03-27
93.040001,174.479996,40.570000,40.779999,1.350000,53.869999,2013-03-28
87.570000,182.500000,59.439999,54.820000,1.550000,30.230000,2013-03-29
79.669998,178.550003,67.820000,50.889999,1.680000,30.719999,2013-03-30
147.559998,307.399994,108.480003,70.050003,2.030000,24.690001,2013-03-31
37.799999,121.360001,36.310001,27.930000,1.350000,48.980000,2013-04-01
64.470001,216.830002,92.989998,57.660000,2.310000,31.940001,2013-04-02
128.259995,288.000000,84.790001,58.200001,1.890000,43.860001,2013-04-03
144.110001,256.839996,35.080002,45.849998,1.900000,35.570000,2013-04-04
37.740002,129.979996,24.100000,21.120001,1.610000,49.900002,2013-04-05
39.160000,110.610001,62.150002,41.860001,1.990000,34.090000,2013-04-06
71.959999,323.720001,103.519997,52.090000,2.780000,31.580000,2013-04-07
31.860001,256.220001,37.529999,15.800000,1.880000,59.290001,2013-04-08
18.450001,104.610001,37.630001,18.090000,1.880000,51.220001,2013-04-09
20.690001,71.190002,46.410000,24.080000,1.830000,48.919998,2013-04-10
32.639999,107.519997,61.040001,37.139999,2.240000,35.580002,2013-04-11
71.779999,269.399994,100.690002,48.020000,3.340000,25.930000,2013-04-12
74.970001,352.000000,100.910004,42.340000,3.380000,30.170000,2013-04-13
58.110001,230.240005,79.750000,46.660000,2.550000,35.590000,2013-04-14
83.360001,424.779999,157.199997,65.529999,4.410000,29.570000,2013-04-15
90.470001,341.589996,58.020000,40.520000,2.680000,60.029999,2013-04-16
122.800003,290.640015,68.989998,44.320000,3.120000,73.839996,2013-04-17
39.619999,135.389999,36.700001,26.850000,2.160000,49.000000,2013-04-18
29.549999,74.389999,29.860001,27.150000,2.260000,48.779999,2013-04-19
123.349998,174.440002,85.589996,64.190002,4.520000,32.270000,2013-04-20
192.440002,309.839996,84.959999,69.820000,5.630000,34.720001,2013-04-21
