PM2_5,PM10,SO2,NO2,CO,O3,Time
166.440002,327.579987,169.669998,79.650002,1.850000,39.349998,2013-03-16
216.880005,401.450012,119.660004,56.000000,1.830000,59.230000,2013-03-17
144.029999,304.589996,82.080002,43.700001,1.520000,34.959999,2013-03-18
111.510002,251.580002,125.139999,57.330002,2.060000,13.040000,2013-03-19
47.220001,91.199997,64.620003,32.340000,1.010000,54.990002,2013-03-20
69.879997,178.119995,59.330002,35.160000,1.060000,64.980003,2013-03-21
69.410004,218.070007,88.690002,51.139999,1.190000,41.259998,2013-03-22
89.589996,287.339996,83.330002,46.250000,1.280000,59.660000,2013-03-23
54.840000,140.539993,92.830002,36.830002,1.020000,54.520000,2013-03-24
56.150002,145.500000,58.950001,52.599998,0.990000,49.560001,2013-03-25
49.919998,137.610001,57.790001,33.709999,0.760000,63.560001,2013-03-26
65.730003,169.500000,58.099998,31.889999,0.880000,86.739998,2013-03-27
90.919998,233.910004,122.860001,46.810001,1.100000,42.099998,2013-03-28
54.910000,152.369995,61.570000,59.750000,1.220000,33.080002,2013-03-29
69.809998,119.250000,47.619999,36.200001,1.120000,42.730000,2013-03-30
85.320000,165.639999,45.360001,30.100000,0.970000,60.340000,2013-03-31
91.410004,183.479996,58.340000,29.059999,1.100000,80.309998,2013-04-01
77.339996,159.720001,79.349998,46.090000,1.320000,63.340000,2013-04-02
61.320000,161.520004,60.380001,40.000000,0.950000,90.639999,2013-04-03
139.470001,299.260010,89.120003,70.379997,1.580000,56.990002,2013-04-04
102.650002,168.449997,48.720001,31.820000,1.050000,38.009998,2013-04-05
50.990002,90.139999,39.840000,24.190001,0.760000,61.270000,2013-04-06
43.680000,170.699997,48.259998,21.290001,0.680000,101.690002,2013-04-07
55.040001,227.199997,51.529999,32.509998,0.910000,66.269997,2013-04-08
33.349998,204.750000,40.950001,32.610001,0.770000,62.080002,2013-04-09
34.480000,112.040001,40.259998,34.619999,0.850000,64.089996,2013-04-10
