PM2_5,PM10,SO2,NO2,CO,O3,Time
98.489998,153.610001,42.080002,62.080002,2.820000,22.070000,2013-03-16
130.570007,199.919998,85.059998,59.060001,3.290000,24.459999,2013-03-17
84.940002,235.720001,63.070000,51.080002,2.990000,37.160000,2013-03-18
87.360001,113.930000,46.360001,39.240002,3.080000,32.889999,2013-03-19
49.930000,88.410004,27.280001,27.889999,2.390000,48.310001,2013-03-20
82.809998,121.820000,32.840000,34.090000,2.150000,40.029999,2013-03-21
124.330002,229.190002,51.810001,40.910000,2.350000,44.500000,2013-03-22
115.750000,210.479996,48.349998,53.220001,2.100000,33.150002,2013-03-23
72.750000,103.779999,42.290001,33.680000,1.880000,41.910000,2013-03-24
57.709999,91.279999,34.450001,44.040001,1.850000,28.480000,2013-03-25
80.860001,108.430000,34.439999,37.220001,2.000000,28.920000,2013-03-26
85.720001,139.389999,40.860001,46.880001,2.200000,35.540001,2013-03-27
85.080002,154.380005,49.590000,34.970001,2.480000,47.959999,2013-03-28
60.060001,83.410004,39.349998,38.299999,2.390000,37.020000,2013-03-29
73.959999,98.389999,24.219999,32.529999,2.680000,28.559999,2013-03-30
108.739998,156.089996,34.259998,36.150002,2.700000,34.490002,2013-03-31
118.180000,209.289993,51.060001,43.490002,2.600000,46.889999,2013-04-01
60.470001,104.870003,34.689999,35.650002,2.090000,59.119999,2013-04-02
77.080002,97.519997,41.849998,40.480000,2.210000,60.480000,2013-04-03
116.459999,164.660004,35.939999,45.980000,2.560000,53.820000,2013-04-04
126.169998,139.789993,43.009998,52.040001,3.180000,25.030001,2013-04-05
50.650002,76.660004,37.500000,38.009998,2.040000,39.889999,2013-04-06
67.019997,142.960007,37.980000,39.669998,1.870000,47.669998,2013-04-07
59.680000,127.550003,42.799999,38.369999,1.910000,44.580002,2013-04-08
24.260000,85.570000,30.690001,30.840000,1.580000,51.459999,2013-04-09
45.380001,120.470001,56.490002,45.740002,1.850000,35.970001,2013-04-10
58.189999,121.250000,69.500000,51.650002,2.000000,33.730000,2013-04-11
58.439999,88.790001,46.720001,43.959999,1.550000,44.160000,2013-04-12
55.130001,125.589996,50.459999,49.810001,1.380000,47.150002,2013-04-13
51.540001,128.949997,40.500000,34.369999,1.500000,57.400002,2013-04-14
83.019997,158.110001,65.930000,53.360001,1.580000,60.740002,2013-04-15
79.110001,143.130005,39.110001,35.310001,2.030000,59.860001,2013-04-16
82.589996,123.820000,38.330002,33.560001,1.750000,53.919998,2013-04-17
69.459999,149.610001,37.110001,24.590000,1.890000,58.610001,2013-04-18
29.010000,40.880001,42.799999,31.969999,1.980000,38.090000,2013-04-19
42.910000,55.009998,38.689999,34.139999,2.160000,37.340000,2013-04-20
86.510002,129.770004,49.480000,40.380001,2.400000,40.290001,2013-04-21
75.279999,99.589996,23.930000,43.139999,2.630000,27.980000,2013-04-22
98.709999,157.139999,40.880001,50.869999,2.570000,22.580000,2013-04-23
129.789993,214.869995,49.040001,51.759998,2.220000,37.560001,2013-04-24
59.130001,154.529999,47.259998,42.459999,1.820000,45.439999,2013-04-25
79.040001,154.880005,48.209999,44.060001,2.080000,57.529999,2013-04-26
83.110001,149.490005,36.419998,39.360001,1.310000,67.320000,2013-04-27
106.559998,171.850006,63.410000,56.380001,1.050000,77.940002,2013-04-28
89.779999,123.919998,35.500000,41.990002,1.830000,61.130001,2013-04-29
80.639999,154.220001,65.589996,58.000000,1.840000,51.369999,2013-04-30
117.459999,220.169998,76.839996,67.370003,2.100000,54.880001,2013-05-01
93.650002,145.089996,35.980000,41.130001,1.760000,71.919998,2013-05-02
95.599998,165.710007,42.700001,47.869999,2.020000,72.410004,2013-05-03
102.760002,145.759995,45.840000,43.500000,1.940000,80.589996,2013-05-04
93.279999,149.220001,35.110001,48.669998,2.020000,81.150002,2013-05-05
120.839996,152.490005,41.840000,61.180000,1.970000,61.259998,2013-05-06
103.339996,138.160004,26.219999,49.049999,2.520000,35.040001,2013-05-07
67.370003,76.839996,24.889999,40.619999,2.730000,27.889999,2013-05-08
102.129997,177.600006,35.290001,57.799999,1.890000,35.250000,2013-05-09
84.300003,160.869995,44.700001,61.520000,1.420000,45.020000,2013-05-10
49.720001,155.550003,58.820000,68.959999,1.530000,60.139999,2013-05-11
52.919998,135.639999,46.590000,63.279999,1.340000,73.730003,2013-05-12
66.910004,129.630005,39.040001,54.759998,1.530000,87.559998,2013-05-13
83.339996,163.050003,48.200001,44.340000,1.600000,82.339996,2013-05-14
52.270000,122.519997,52.900002,36.310001,1.450000,95.239998,2013-05-15
46.049999,91.419998,48.709999,35.669998,1.260000,78.099998,2013-05-16
66.980003,108.930000,51.380001,44.680000,1.430000,86.400002,2013-05-17
83.050003,86.250000,35.619999,39.139999,1.600000,69.699997,2013-05-18
104.470001,175.440002,61.939999,60.560001,1.620000,58.650002,2013-05-19
61.340000,184.399994,42.090000,36.560001,1.180000,84.110001,2013-05-20
96.730003,175.979996,40.160000,50.000000,1.480000,92.370003,2013-05-21
146.589996,195.270004,44.230000,41.360001,2.000000,95.830002,2013-05-22
