"_id","timestamp","device_id","package_name","application_name","is_system_app"
"2946","1.636958121011E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.tencent.mobileqq","QQ","0"
"2947","1.636958121836E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","android","系统","1"
"2948","1.636958121998E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.android.systemui","系统用户界面","1"
"2949","1.636958126571E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.tencent.mm","微信","0"
"2950","1.636958126815E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","android","系统","1"
"2951","1.636958132102E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.huawei.android.launcher","华为桌面","1"
"2952","1.636958133115E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.tencent.mm","微信","0"
"2953","1.636958140716E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","android","系统","1"
"2954","1.636958141395E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.tencent.mm","微信","0"
"2955","1.636958163265E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","android","系统","1"
"2956","1.636958164234E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.tencent.mm","微信","0"
"2957","1.636958166147E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.android.systemui","系统用户界面","1"
"2958","1.636958394704E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.tencent.mm","微信","0"
"2959","1.636958394942E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","android","系统","1"
"2960","1.63695839674E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.android.systemui","系统用户界面","1"
"2961","1.636958545732E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.tencent.mm","微信","0"
"2962","1.636958546186E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","android","系统","1"
"2963","1.636958554261E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.huawei.android.launcher","华为桌面","1"
"2964","1.636958555611E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.tencent.mobileqq","QQ","0"
"2965","1.636958555719E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.huawei.android.launcher","华为桌面","1"
"2966","1.636958558036E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.android.systemui","系统用户界面","1"
"2967","1.636958703051E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","android","系统","1"
"2968","1.636958720567E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.tencent.mobileqq","QQ","0"
"2969","1.636958751434E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.huawei.android.launcher","华为桌面","1"
"2970","1.636958752359E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.huawei.browser","浏览器","1"
"2971","1.636958755853E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.tencent.qqpinyin","QQ输入法","0"
"2972","1.636958772926E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.huawei.android.launcher","华为桌面","1"
"2973","1.636958775722E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.tencent.mobileqq","QQ","0"
"2974","1.63695877596E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.huawei.android.launcher","华为桌面","1"
"2975","1.636958776097E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.tencent.mobileqq","QQ","0"
"2976","1.636958780714E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.huawei.intelligent","智慧助手·今天","1"
"2977","1.636958781607E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.huawei.android.launcher","华为桌面","1"
"2978","1.636958782736E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.tencent.mobileqq","QQ","0"
"2979","1.636958783044E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.huawei.android.launcher","华为桌面","1"
"2980","1.636958784674E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.android.systemui","系统用户界面","1"
"2981","1.636959274387E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","android","系统","1"
"2982","1.636959275347E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","com.android.systemui","系统用户界面","1"
"2983","1.636959278751E12","50333be4-0617-4fbb-a5a7-4d72bfa0405b","android","系统","1"
